DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
TuaMatic;1;437;169;361;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;691;85;365;SHOP IN SHOP;BASSO;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;553;37;64;SHOP IN SHOP;ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
SuperTua;0;558;2;365;FRANCHISING;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;BASSO;ALTO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;347;66;63;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;MEDIO;ALTO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;423;44;392;NATIONAL CHAIN;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;599;69;64;FRANCHISING;MEDIO;MOLTO ALTO;MOLTO ALTO;BASSO;MEDIO;MEDIO;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;365;49;63;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;414;43;64;SHOP IN SHOP;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;413;99;121;GDO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;395;31;59;FLAGSHIP;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;438;35;93;NATIONAL CHAIN;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;443;2;365;SHOP IN SHOP;ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;402;14;365;SHOP IN SHOP;MEDIO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;429;2;365;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;352;52;64;SHOP IN SHOP;ALTO;MEDIO;MEDIO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;668;7;365;FRANCHISING;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
SuperTua;1;476;15;413;nd;BASSO;BASSO;MOLTO ALTO;BASSO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;363;67;64;SHOP IN SHOP;BASSO;BASSO;BASSO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;653;39;63;nd;MOLTO ALTO;ALTO;ALTO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;615;15;244;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;402;21;61;NATIONAL CHAIN;ALTO;MOLTO ALTO;MEDIO;BASSO;BASSO;BASSO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;421;22;365;SHOP IN SHOP;MOLTO ALTO;ALTO;MOLTO ALTO;MEDIO;BASSO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;475;109;121;SHOP IN SHOP;BASSO;MEDIO;MEDIO;BASSO;MEDIO;ALTO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;404;41;64;FLAGSHIP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;MEDIO;ALTO;ALTO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;409;17;365;SHOP IN SHOP;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;421;67;63;SHOP IN SHOP;MOLTO ALTO;ALTO;BASSO;MEDIO;MEDIO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;393;44;63;SHOP IN SHOP;MOLTO ALTO;ALTO;ALTO;BASSO;MEDIO;MEDIO;ALTO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;406;28;86;FRANCHISING;MEDIO;BASSO;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;464;5;93;SHOP IN SHOP;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;463;24;365;nd;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;416;57;63;SHOP IN SHOP;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;674;10;365;SHOP IN SHOP;BASSO;BASSO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;341;138;405;FRANCHISING;BASSO;BASSO;ALTO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;444;2;365;FLAGSHIP;ALTO;ALTO;ALTO;BASSO;MEDIO;BASSO;MEDIO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;1;461;58;63;FRANCHISING;MOLTO ALTO;MOLTO ALTO;BASSO;BASSO;MEDIO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
